,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9154078549848943,0.6714285714285714,0.92,0.8755868544600939,0.8356121421378219,0.8768077548878366
recall,0.9294478527607362,0.6911764705882353,0.71875,0.8755868544600939,0.7797914411163238,0.8755868544600939
f1-score,0.9223744292237442,0.6811594202898551,0.8070175438596491,0.8755868544600939,0.8035171311244161,0.8752053190379331
support,326.0,68.0,32.0,0.8755868544600939,426.0,426.0
